date,symbol,side,quantity,price,amount,reason,exit_type,pnl,hold_days,is_partial,archetype
0,SWKS,buy,1.9971065674419914,56.67135773391724,113.17874071626062,buy,,0.0,0,False,defensive_income
0,KT,buy,5.6677815854594815,19.51728577079773,110.61971288987775,buy,,0.0,0,False,quality_compounder
0,HOMB,buy,3.7874245205062187,28.54863069648743,108.12578392675302,buy,,0.0,0,False,defensive_income
0,NNN,buy,2.601026299018361,41.50683127212525,107.96035972771548,buy,,0.0,0,False,defensive_income
15,O,buy,0.885727014610117,62.37511353607178,55.247323098271956,buy,,0.0,0,False,defensive_income
25,T,buy,1.5454750920057925,28.09563914909363,43.42111049890702,buy,,0.0,0,False,defensive_income
28,HOMB,sell,12.976264367914972,27.240570068359375,352.98596556550723,,trailing_stop,-20.62773741958921,28,False,defensive_income
31,SWKS,sell,8.615502169831096,55.7951774597168,480.0304876088427,,trailing_stop,-20.809278823262957,31,False,defensive_income
35,CTRE,buy,2.169722470513518,39.60003264312744,85.92108065886244,buy,,0.0,0,False,defensive_income
38,KT,sell,24.273451677982933,21.219999313354492,514.361512260426,,trailing_stop,-2.477175896193444,38,False,quality_compounder
40,SWKS,buy,2.1583303098435875,53.32186451339722,115.08619635663842,buy,,0.0,0,False,defensive_income
40,HOMB,buy,4.199085457633551,26.245573812103274,110.2074073216508,buy,,0.0,0,False,defensive_income
43,O,sell,4.941729963206378,60.420066833496094,298.16164313350953,,trailing_stop,-18.58340601847192,28,False,defensive_income
45,KT,buy,5.420750155692066,21.68030961799622,117.5235417372052,buy,,0.0,0,False,quality_compounder
46,NNN,sell,13.958437395682019,41.411094665527344,577.2249245340994,,trailing_stop,-19.81192507830508,46,False,defensive_income
49,CTRE,sell,2.169722470513518,36.26000213623047,78.56399761786523,,trailing_stop,-7.35708304099721,14,False,defensive_income
50,DVN,buy,2.7232954950026262,50.390447694396975,137.22807919731676,buy,,0.0,0,False,quality_compounder
55,NNN,buy,2.4983844654153313,43.009714379882816,107.45480226864962,buy,,0.0,0,False,defensive_income
57,T,sell,1.5454750920057925,26.459999084472656,40.836018942221195,,trailing_stop,-2.585091556685825,32,False,defensive_income
