param,mean,stddev,cv,sharpe_calmar_spread,convergence_frequency,instability_score,stability
sw_value,0.2974,0.2192,0.7371,0.1058,0.4,0.853,UNSTABLE
sw_quality,0.43,0.0852,0.198,0.1009,0.6,0.666,MODERATELY_STABLE
sw_income,0.1295,0.0969,0.7485,0.0625,0.4,0.708,UNSTABLE
sw_momentum,0.225,0.1047,0.4655,0.0916,0.4,0.805,UNSTABLE
index_pct,0.7878,0.1111,0.141,0.0855,0.4,0.52,STABLE
metric_threshold,1.0982,0.5218,0.4751,0.2362,0.6,1.0,UNSTABLE
take_profit_pct,0.5859,0.1734,0.296,0.2934,0.6,0.993,UNSTABLE
sell_weak_below,0.448,0.1132,0.2527,0.2869,0.4,0.921,UNSTABLE
trailing_stop,-0.0878,0.0461,0.5251,0.0418,0.8,0.639,UNSTABLE
value_pe_weight,0.738,0.119,0.1613,0.161,0.6,0.769,UNSTABLE
mom_rs3m,0.2506,0.1136,0.4532,0.0886,0.6,0.795,UNSTABLE
mom_rs6m,0.2098,0.0927,0.4419,0.1303,0.6,0.934,UNSTABLE
mom_radj,0.272,0.1318,0.4848,0.216,0.8,1.0,UNSTABLE
mom_trend,0.2629,0.1516,0.5766,0.068,0.8,0.727,UNSTABLE
mom_r1m,0.2213,0.1222,0.5523,0.1894,0.8,1.0,UNSTABLE
